alacritty 0.13.1-1
alacritty-themes 5.3.1-1
alsa-plugins 1:1.2.7.1-2
alsa-utils 1.2.10-1
android-tools 34.0.4-3
ansible 9.1.0-2
apache 2.4.58-1
archey3 0.5-13
arm-none-eabi-gcc 13.2.0-2
arp-scan 1.10.0-4
asp 8-1
aspell 0.60.8.1-1
aspell-en 2020.12.07-1
at 3.2.5-2
autoconf 2.72-1
automake 1.16.5-2
aws-cli-v2 2.15.10-1
aws-session-manager-plugin 1.2.463.0-1
azure-cli 2.53.0-1
base 3-2
bashate 2.1.1-1
bat 0.24.0-1
bc 1.07.1-4
beep 1.4.12-1
bind 9.18.21-1
binutils 2.41-3
bison 3.8.2-6
bluez 5.72-2
bluez-utils 5.72-2
browserpass-firefox 3.8.0-1
btop 1.3.0-2
ccache 4.9-1
cfengine-git 3.23.0.r9.g042225d-1
check 0.15.2-2
checksec 2.6.0-1
chrpath 0.17-1
clang 16.0.6-1
cmake 3.28.1-1
cmake-language-server 0.1.7-2
cockpit 308-1
conky 1.19.6-1
cowsay 3.04-4
cpio 2.15-1
cppcheck 2.12.0-1
cppman 0.5.6-1
ctags 1:6.1.0-1
cups 1:2.4.7-2
d-feet 0.3.16-3
debootstrap 1.0.134-1
debugedit 5.0-5
devtools 1:1.0.4-1
dialog 1:1.3_20231002-1
diffstat 1.65-1
direnv 2.33.0-1
ditaa 0.11.0-3
dmenu 5.2-1
docker 1:24.0.7-1
docker-compose 2.24.0-1
efibootmgr 18-2
emacs-wayland 29.1-4
expac 10-5
fakeroot 1.32.2-1
file 5.45-1
findutils 4.9.0-3
firefox 121.0.1-1
flake8 1:6.1.0-1
flex 2.6.4-5
fq 0.9.0-1
fzf 0.45.0-1
gawk 5.3.0-1
gcc 13.2.1-3
gengetopt 2.23-2
gettext 0.22.4-1
git 2.43.0-1
git-delta 0.16.5-1
github-cli 2.42.1-1
gitlab-runner 16.7.0-1
gnu-free-fonts 20120503-8
gnu-netcat 0.7.1-9
gnuplot 6.0.0-1
go 2:1.21.6-1
go-tools 4:0.17.0-1
google-chrome 105.0.5195.125-1
google-cloud-cli-gke-gcloud-auth-plugin 435.0.1-1
graphviz 9.0.0-1
grep 3.11-1
groff 1.23.0-5
grub 2:2.12-1
gtk-engine-murrine 0.98.2-4
gzip 1.13-2
helm 3.13.3-1
help2man 1.49.3-1
htop 3.3.0-1
hugo 0.121.2-1
i3-wm 4.23-1
i3lock 2.14.1-1
i3status 2.14-1
ifuse 1.1.4-4
imagemagick 7.1.1.26-1
inetutils 2.5-1
intel-ucode 20231114-1
interception-caps2esc 0.3.2-2
interception-tools 0.6.8-7
iotop 0.6-10
ipcalc 0.51-1
irssi 1.4.5-1
ispell 3.4.05-1
iw 6.7-1
kubectl 1.29.0-1
kubectl-convert-bin 1.24.3-1
kubectx 0.9.5-1
kubie 0.23.0-1
lib32-fakeroot 1.32.2-1
lib32-libltdl 2.4.7-3
libconfig 1.7.3-2
libp11 0.4.12-2
libtool 2.4.7+4+g1ec8fa28-6
light 1.2.2-3
linux 6.7.arch3-1
linux-firmware 20231211.f2e52a1c-1
ltrace 0.7.3-4
lvm2 2.03.23-1
lxappearance 0.6.3-4
m4 1.4.19-3
make 4.4.1-2
man-pages 6.05.01-2
materia-gtk-theme 20210322-2
meson 1.3.1-1
minicom 2.9-1
mit-scheme 12.1-1
mkosi 20.1-1
modprobed-db 2.46-1
moreutils 0.68-1
ms-sys 1:2.8.0-1
mtd-utils 2.1.6-1
mtools 1:4.0.43-1
namcap 3.5.2-1
nasm 2.16.01-1
ninja 1.11.1-3
nmap 7.94-2
nodejs 21.6.0-2
noto-fonts 1:24.1.1-1
npm 10.3.0-1
nss-mdns 0.15.1-1
ntfs-3g 2022.10.3-1
okular 23.08.4-1
ollama 0.1.20-1
openssh 9.6p1-1
openvpn 2.6.8-1
openvpn3 21-3
ostree 2023.8-1
otf-font-awesome 6.5.1-1
otf-symbola 14.00-1
pacman 6.0.2-8
pacman-contrib 1.10.1-1
pandoc-cli 0.1.1.1-46
pass 1.7.4-5
patch 2.7.6-10
pavucontrol 1:5.0+r64+geba9ca6-1
perl-anyevent 4:7.17-6
perl-anyevent-i3 0.17-9
perl-json-xs 4.03-4
pgformatter 5.5-1
pkcs11-provider 0.2-1
pkgconf 2.1.0-2
postgresql 16.1-4
prusa-slicer 2.7.1-1
pulseaudio 17.0-1
pulseaudio-alsa 1:1.2.7.1-2
